date,beta,tstat,r2
2020-06-26,-0.15061338318868506,-3.608975711611406,0.016980816381051755
2020-06-29,-0.15372361190610806,-3.7040402838015596,0.01787098936246545
2020-06-30,-0.15499000308221259,-3.7400932164227747,0.01821420628061854
2020-07-01,-0.15624249304378485,-3.7748856565751137,0.018548345121916165
2020-07-02,-0.15772292409223435,-3.818645194342169,0.018972666742631095
2020-07-03,-0.1583138544677224,-3.833750779363862,0.01912019001637677
2020-07-06,-0.15864983470761493,-3.8492152247788707,0.019271775071215358
2020-07-07,-0.15901778093983537,-3.8598893326413504,0.01937673294998743
2020-07-08,-0.15390162614646644,-3.7563632598993735,0.018370103335903387
2020-07-09,-0.15276844164988476,-3.7248429300684,0.018068650110680706
2020-07-10,-0.15081885094276554,-3.678079142701661,0.017625756309025298
2020-07-13,-0.1487213032586358,-3.625469345817828,0.01713371609255454
2020-07-14,-0.14755045809130424,-3.5932510748293858,0.016835650623586162
2020-07-15,-0.14476236617313737,-3.5174512224384755,0.01614419058345462
2020-07-16,-0.1422703290263127,-3.4501189905075593,0.015541545155285608
2020-07-17,-0.1401948751365902,-3.3889462071943885,0.01500350372571757
2020-07-20,-0.1355112238653527,-3.2742712440255275,0.014019301486154156
2020-07-21,-0.13370222935035847,-3.2214113084138556,0.013576395096186689
2020-07-22,-0.1312678671808924,-3.1581575739081402,0.013055365488207293
2020-07-23,-0.12984750951612306,-3.121406404687291,0.012757139081047364
2020-07-24,-0.12915374425522935,-3.1019546590781055,0.012600633770099234
2020-07-27,-0.127252203168324,-3.057269587056609,0.01224462608109067
2020-07-28,-0.1270722987253251,-3.0478943629260833,0.012170556649460873
2020-07-29,-0.1264889042303713,-3.0321166346118495,0.012046392559330488
2020-07-30,-0.12321947302671259,-2.9617672062251397,0.011500244157546802
2020-07-31,-0.12171646127837946,-2.924736327818623,0.011217673319955157
2020-08-03,-0.11368379069954218,-2.7570320920929796,0.0099805852429935
2020-08-04,-0.10548304381458701,-2.5842448580363846,0.00877942922474595
2020-08-05,-0.10301863614744922,-2.529819092927145,0.008416602804041107
2020-08-06,-0.10364739190188671,-2.5444382378184125,0.008513327915641078
2020-08-07,-0.10430254574681347,-2.5604596201831034,0.008619948915929876
2020-08-10,-0.10475446512294534,-2.5715397754234974,0.008694064404885848
2020-08-11,-0.1041730605696303,-2.564563999959002,0.008647367208376
2020-08-12,-0.10436972334588028,-2.5772866609039338,0.008732627152295946
2020-08-13,-0.1047633867624198,-2.5872316542992073,0.008799556296926303
2020-08-14,-0.10567560494771241,-2.614793122328822,0.008986342392495072
2020-08-17,-0.10732687427564847,-2.6605099362672395,0.00930037421766805
2020-08-18,-0.10855424899765878,-2.6923510879050796,0.00952218882307665
2020-08-19,-0.1093135580078628,-2.7108012344918997,0.009651879369127925
2020-08-20,-0.11029995860748304,-2.7419147604125245,0.009872512009097334
2020-08-21,-0.11051528730568712,-2.750528990182581,0.009934024877204184
2020-08-24,-0.1106963602544592,-2.755357355035217,0.009968584507483502
2020-08-25,-0.11073289355790364,-2.7564359106058527,0.009976312357093953
2020-08-26,-0.11117414618932174,-2.7722705763577262,0.010090101897018422
2020-08-27,-0.10880343513481065,-2.7253473885672648,0.009754728071939556
2020-08-28,-0.10901227805302631,-2.729071715598464,0.009781146011174746
2020-08-31,-0.1085786349546386,-2.7212911572353233,0.009725995263268228
2020-09-01,-0.10861689998514819,-2.7216918195450095,0.009728831572862084
2020-09-02,-0.1084917849845301,-2.7148404339881975,0.009680385503507027
2020-09-03,-0.10813863116195982,-2.7026333611583055,0.00959436034240202
2020-09-04,-0.10828995705591409,-2.703562777177951,0.009600896973096407
2020-09-08,-0.10833729098182464,-2.7016269085681963,0.00958728434695666
2020-09-09,-0.10789326104342897,-2.691093408729611,0.009513379305461145
2020-09-10,-0.10817208678819941,-2.6953241890038164,0.009543029897634447
2020-09-11,-0.1082294430875419,-2.69254257121001,0.009523530430997074
2020-09-14,-0.10890370726588884,-2.7052396155757283,0.009612695730791154
2020-09-15,-0.11131005637935083,-2.7747801085535393,0.010108193079596539
2020-09-16,-0.11504401738954753,-2.879645736569193,0.010878187960376762
2020-09-17,-0.11656589039694701,-2.9132408544683313,0.011130645617207446
2020-09-18,-0.11786874966837765,-2.9400424746980707,0.011334058165981098
2020-09-21,-0.12356728890015195,-3.121629881688911,0.012758942532930417
2020-09-22,-0.12796976588203196,-3.251810842499001,0.013830276689086096
2020-09-23,-0.12847668565004589,-3.2533194083943164,0.013842934152826336
2020-09-24,-0.13020943136896354,-3.2849738009700316,0.014109805328555103
2020-09-25,-0.13614349223367261,-3.4360759911578778,0.015417231891388328
2020-09-28,-0.1520865377269663,-3.8819844790454265,0.019594844872409145
2020-09-29,-0.15519369240478664,-3.9492433620886267,0.020265844067886563
2020-09-30,-0.15737774381793546,-3.9897160364999262,0.02067471793468234
2020-10-01,-0.15832615261715646,-3.9999631042884487,0.020778845414081704
2020-10-02,-0.1599679308998055,-4.034355367484238,0.02113011795807196
2020-10-05,-0.1623555961234065,-4.080198357539236,0.021602623031864776
