date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown
2019-06-11,2.5646481282764144,2.452782941312279,-0.11186518696413561,756,-0.5148523124685659,0.9172489633490069,0.43934323352415333,0.0,2019-06-12,1.0,0.0047901270598043055,-0.18431399551093097,-0.18910412257073528,-18.431399551093097,0.47901270598043055,-18.910412257073528,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-12,2.531023144540411,2.4535452889871405,-0.07747785555327047,756,-0.5061688090455392,0.9106147387597399,0.47077093664895775,0.0,2019-06-13,1.0,0.00445134644009304,-0.03362498373600342,-0.03807633017609646,-3.362498373600342,0.445134644009304,-3.8076330176096462,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-13,2.578138397912033,2.5613511593878044,-0.016787238524228698,756,-0.4964855896707993,0.9020740023178829,0.5317727258672611,0.0,2019-06-14,1.0,0.004881273605051639,0.047115253371622146,0.042233979766570506,4.7115253371622146,0.4881273605051639,4.223397976657051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-14,2.700612248945288,2.59793929660075,-0.102672952344538,756,-0.48599947705857327,0.892136524718819,0.4296724930467913,0.0,2019-06-17,3.0,0.004189629165685105,0.12247385103325481,0.1182842218675697,12.247385103325481,0.4189629165685105,11.82842218675697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-17,2.700612248945288,2.934297034857634,0.2336847859123461,756,-0.47585602046142206,0.8818051180213823,0.8046458246532461,0.0,2019-06-18,1.0,0.010838699234860805,0.0,-0.010838699234860805,0.0,1.0838699234860805,-1.0838699234860805,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-18,2.623991127878877,2.7548940355904845,0.1309029077116075,756,-0.4691070566330964,0.8806963541205909,0.6812903920146653,0.0,2019-06-19,1.0,0.0036148619801936732,-0.07662112106641095,-0.08023598304660462,-7.662112106641095,0.3614861980193673,-8.023598304660462,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-19,2.487567450250361,3.087546329636874,0.5999788793865131,756,-0.46360200461226386,0.8800913000352688,1.2084892600985317,0.0,2019-06-21,2.0,0.004373027375882188,-0.13642367762851615,-0.14079670500439834,-13.642367762851615,0.4373027375882188,-14.079670500439834,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-21,2.5011747582659227,2.8027715015806436,0.30159674331472086,756,-0.4579441094885853,0.8823336428684742,0.8608317941204559,0.0,2019-06-24,3.0,0.0084329305656059,0.01360730801556187,0.005174377449955969,1.360730801556187,0.8432930565605901,0.5174377449955969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-24,2.4834500434388405,3.0743586698570695,0.590908626418229,756,-0.4524108666893768,0.8827087220913602,1.1819521740260117,0.0,2019-06-25,1.0,0.010215524297231049,-0.017724714827082266,-0.027940239124313315,-1.7724714827082266,1.021552429723105,-2.7940239124313315,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-25,2.346409996556932,2.835752160235362,0.4893421636784301,756,-0.44793389210582363,0.885134214647039,1.0589084008666494,0.0,2019-06-26,1.0,0.00395825648800141,-0.1370400468819084,-0.14099830336990982,-13.70400468819084,0.39582564880014104,-14.099830336990982,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
